,A,Z,N,Nmax,pdim,ndim,dim
0,2,1,1,0,2,2,2
1,3,1,2,0,2,1,1
2,3,2,1,0,1,2,1
3,4,1,3,0,2,6,4
4,4,3,1,0,6,2,4
5,5,1,4,0,2,15,8
6,5,4,1,0,15,2,8
7,6,1,5,0,2,20,10
8,6,5,1,0,20,2,10
9,7,1,6,0,2,15,8
10,7,6,1,0,15,2,8
11,8,1,7,0,2,6,4
12,8,7,1,0,6,2,4
13,9,1,8,0,2,1,1
14,9,8,1,0,1,2,1
15,10,1,9,0,2,12,6
16,10,9,1,0,12,2,6
17,11,1,10,0,2,66,25
18,11,10,1,0,66,2,25
19,12,1,11,0,2,220,74
20,12,11,1,0,220,2,74
21,13,1,12,0,2,495,153
22,13,12,1,0,495,2,153
23,4,2,2,0,1,1,1
24,5,2,3,0,1,6,2
25,5,3,2,0,6,1,2
26,6,2,4,0,1,15,5
27,6,4,2,0,15,1,5
28,7,2,5,0,1,20,5
29,7,5,2,0,20,1,5
30,8,2,6,0,1,15,5
31,8,6,2,0,15,1,5
32,9,2,7,0,1,6,2
33,9,7,2,0,6,1,2
34,10,2,8,0,1,1,1
35,10,8,2,0,1,1,1
36,11,2,9,0,1,12,3
37,11,9,2,0,12,1,3
38,12,2,10,0,1,66,14
39,12,10,2,0,66,1,14
40,13,2,11,0,1,220,37
41,13,11,2,0,220,1,37
42,14,2,12,0,1,495,81
43,14,12,2,0,495,1,81
44,15,2,13,0,1,792,119
45,15,13,2,0,792,1,119
46,6,3,3,0,6,6,10
47,7,3,4,0,6,15,21
48,7,4,3,0,15,6,21
49,8,3,5,0,6,20,28
50,8,5,3,0,20,6,28
51,9,3,6,0,6,15,21
52,9,6,3,0,15,6,21
53,10,3,7,0,6,6,10
54,10,7,3,0,6,6,10
55,11,3,8,0,6,1,2
56,11,8,3,0,1,6,2
57,12,3,9,0,6,12,16
58,12,9,3,0,12,6,16
59,13,3,10,0,6,66,70
60,13,10,3,0,66,6,70
61,14,3,11,0,6,220,212
62,14,11,3,0,220,6,212
63,15,3,12,0,6,495,438
64,15,12,3,0,495,6,438
65,16,3,13,0,6,792,684
66,16,13,3,0,792,6,684
67,17,3,14,0,6,924,777
68,17,14,3,0,924,6,777
69,8,4,4,0,15,15,51
70,9,4,5,0,15,20,62
71,9,5,4,0,20,15,62
72,10,4,6,0,15,15,51
73,10,6,4,0,15,15,51
74,11,4,7,0,15,6,21
75,11,7,4,0,6,15,21
76,12,4,8,0,15,1,5
77,12,8,4,0,1,15,5
78,13,4,9,0,15,12,36
79,13,9,4,0,12,15,36
80,14,4,10,0,15,66,172
81,14,10,4,0,66,15,172
82,15,4,11,0,15,220,500
83,15,11,4,0,220,15,500
84,16,4,12,0,15,495,1077
85,16,12,4,0,495,15,1077
86,17,4,13,0,15,792,1632
87,17,13,4,0,792,15,1632
88,18,4,14,0,15,924,1914
89,18,14,4,0,924,15,1914
90,19,4,15,0,15,792,1632
91,19,15,4,0,792,15,1632
92,10,5,5,0,20,20,84
93,11,5,6,0,20,15,62
94,11,6,5,0,15,20,62
95,12,5,7,0,20,6,28
96,12,7,5,0,6,20,28
97,13,5,8,0,20,1,5
98,13,8,5,0,1,20,5
99,14,5,9,0,20,12,48
100,14,9,5,0,12,20,48
101,15,5,10,0,20,66,218
102,15,10,5,0,66,20,218
103,16,5,11,0,20,220,670
104,16,11,5,0,220,20,670
105,17,5,12,0,20,495,1392
106,17,12,5,0,495,20,1392
107,18,5,13,0,20,792,2182
108,18,13,5,0,792,20,2182
109,19,5,14,0,20,924,2483
110,19,14,5,0,924,20,2483
111,20,5,15,0,20,792,2182
112,20,15,5,0,792,20,2182
113,21,5,16,0,20,495,1392
114,21,16,5,0,495,20,1392
115,12,6,6,0,15,15,51
116,13,6,7,0,15,6,21
117,13,7,6,0,6,15,21
118,14,6,8,0,15,1,5
119,14,8,6,0,1,15,5
120,15,6,9,0,15,12,36
121,15,9,6,0,12,15,36
122,16,6,10,0,15,66,172
123,16,10,6,0,66,15,172
124,17,6,11,0,15,220,500
125,17,11,6,0,220,15,500
126,18,6,12,0,15,495,1077
127,18,12,6,0,495,15,1077
128,19,6,13,0,15,792,1632
129,19,13,6,0,792,15,1632
130,20,6,14,0,15,924,1914
131,20,14,6,0,924,15,1914
132,21,6,15,0,15,792,1632
133,21,15,6,0,792,15,1632
134,22,6,16,0,15,495,1077
135,22,16,6,0,495,15,1077
136,23,6,17,0,15,220,500
137,23,17,6,0,220,15,500
138,14,7,7,0,6,6,10
139,15,7,8,0,6,1,2
140,15,8,7,0,1,6,2
141,16,7,9,0,6,12,16
142,16,9,7,0,12,6,16
143,17,7,10,0,6,66,70
144,17,10,7,0,66,6,70
145,18,7,11,0,6,220,212
146,18,11,7,0,220,6,212
147,19,7,12,0,6,495,438
148,19,12,7,0,495,6,438
149,20,7,13,0,6,792,684
150,20,13,7,0,792,6,684
151,21,7,14,0,6,924,777
152,21,14,7,0,924,6,777
153,22,7,15,0,6,792,684
154,22,15,7,0,792,6,684
155,23,7,16,0,6,495,438
156,23,16,7,0,495,6,438
157,24,7,17,0,6,220,212
158,24,17,7,0,220,6,212
159,25,7,18,0,6,66,70
160,25,18,7,0,66,6,70
161,16,8,8,0,1,1,1
162,17,8,9,0,1,12,3
163,17,9,8,0,12,1,3
164,18,8,10,0,1,66,14
165,18,10,8,0,66,1,14
166,19,8,11,0,1,220,37
167,19,11,8,0,220,1,37
168,20,8,12,0,1,495,81
169,20,12,8,0,495,1,81
170,21,8,13,0,1,792,119
171,21,13,8,0,792,1,119
172,22,8,14,0,1,924,142
173,22,14,8,0,924,1,142
174,23,8,15,0,1,792,119
175,23,15,8,0,792,1,119
176,24,8,16,0,1,495,81
177,24,16,8,0,495,1,81
178,25,8,17,0,1,220,37
179,25,17,8,0,220,1,37
180,26,8,18,0,1,66,14
181,26,18,8,0,66,1,14
182,27,8,19,0,1,12,3
183,27,19,8,0,12,1,3
184,18,9,9,0,12,12,28
185,19,9,10,0,12,66,128
186,19,10,9,0,66,12,128
187,20,9,11,0,12,220,394
188,20,11,9,0,220,12,394
189,21,9,12,0,12,495,822
190,21,12,9,0,495,12,822
191,22,9,13,0,12,792,1290
192,22,13,9,0,792,12,1290
193,23,9,14,0,12,924,1469
194,23,14,9,0,924,12,1469
195,24,9,15,0,12,792,1290
196,24,15,9,0,792,12,1290
197,25,9,16,0,12,495,822
198,25,16,9,0,495,12,822
199,26,9,17,0,12,220,394
200,26,17,9,0,220,12,394
201,27,9,18,0,12,66,128
202,27,18,9,0,66,12,128
203,28,9,19,0,12,12,28
204,28,19,9,0,12,12,28
205,29,9,20,0,12,1,3
206,29,20,9,0,1,12,3
207,20,10,10,0,66,66,640
208,21,10,11,0,66,220,1935
209,21,11,10,0,220,66,1935
210,22,10,12,0,66,495,4206
211,22,12,10,0,495,66,4206
212,23,10,13,0,66,792,6457
213,23,13,10,0,792,66,6457
214,24,10,14,0,66,924,7562
215,24,14,10,0,924,66,7562
216,25,10,15,0,66,792,6457
217,25,15,10,0,792,66,6457
218,26,10,16,0,66,495,4206
219,26,16,10,0,495,66,4206
220,27,10,17,0,66,220,1935
221,27,17,10,0,220,66,1935
222,28,10,18,0,66,66,640
223,28,18,10,0,66,66,640
224,29,10,19,0,66,12,128
225,29,19,10,0,12,66,128
226,30,10,20,0,66,1,14
227,30,20,10,0,1,66,14
228,22,11,11,0,220,220,6116
229,23,11,12,0,220,495,13029
230,23,12,11,0,495,220,13029
231,24,11,13,0,220,792,20564
232,24,13,11,0,792,220,20564
233,25,11,14,0,220,924,23558
234,25,14,11,0,924,220,23558
235,26,11,15,0,220,792,20564
236,26,15,11,0,792,220,20564
237,27,11,16,0,220,495,13029
238,27,16,11,0,495,220,13029
239,28,11,17,0,220,220,6116
240,28,17,11,0,220,220,6116
241,29,11,18,0,220,66,1935
242,29,18,11,0,66,220,1935
243,30,11,19,0,220,12,394
244,30,19,11,0,12,220,394
245,31,11,20,0,220,1,37
246,31,20,11,0,1,220,37
247,24,12,12,0,495,495,28503
248,25,12,13,0,495,792,44133
249,25,13,12,0,792,495,44133
250,26,12,14,0,495,924,51630
251,26,14,12,0,924,495,51630
252,27,12,15,0,495,792,44133
253,27,15,12,0,792,495,44133
254,28,12,16,0,495,495,28503
255,28,16,12,0,495,495,28503
256,29,12,17,0,495,220,13029
257,29,17,12,0,220,495,13029
258,30,12,18,0,495,66,4206
259,30,18,12,0,66,495,4206
260,31,12,19,0,495,12,822
261,31,19,12,0,12,495,822
262,32,12,20,0,495,1,81
263,32,20,12,0,1,495,81
264,26,13,13,0,792,792,69784
265,27,13,14,0,792,924,80115
266,27,14,13,0,924,792,80115
267,28,13,15,0,792,792,69784
268,28,15,13,0,792,792,69784
269,29,13,16,0,792,495,44133
270,29,16,13,0,495,792,44133
271,30,13,17,0,792,220,20564
272,30,17,13,0,220,792,20564
273,31,13,18,0,792,66,6457
274,31,18,13,0,66,792,6457
275,32,13,19,0,792,12,1290
276,32,19,13,0,12,792,1290
277,33,13,20,0,792,1,119
278,33,20,13,0,1,792,119
279,28,14,14,0,924,924,93710
280,29,14,15,0,924,792,80115
281,29,15,14,0,792,924,80115
282,30,14,16,0,924,495,51630
283,30,16,14,0,495,924,51630
284,31,14,17,0,924,220,23558
285,31,17,14,0,220,924,23558
286,32,14,18,0,924,66,7562
287,32,18,14,0,66,924,7562
288,33,14,19,0,924,12,1469
289,33,19,14,0,12,924,1469
290,34,14,20,0,924,1,142
291,34,20,14,0,1,924,142
292,30,15,15,0,792,792,69784
293,31,15,16,0,792,495,44133
294,31,16,15,0,495,792,44133
295,32,15,17,0,792,220,20564
296,32,17,15,0,220,792,20564
297,33,15,18,0,792,66,6457
298,33,18,15,0,66,792,6457
299,34,15,19,0,792,12,1290
300,34,19,15,0,12,792,1290
301,35,15,20,0,792,1,119
302,35,20,15,0,1,792,119
303,32,16,16,0,495,495,28503
304,33,16,17,0,495,220,13029
305,33,17,16,0,220,495,13029
306,34,16,18,0,495,66,4206
307,34,18,16,0,66,495,4206
308,35,16,19,0,495,12,822
309,35,19,16,0,12,495,822
310,36,16,20,0,495,1,81
311,36,20,16,0,1,495,81
312,34,17,17,0,220,220,6116
313,35,17,18,0,220,66,1935
314,35,18,17,0,66,220,1935
315,36,17,19,0,220,12,394
316,36,19,17,0,12,220,394
317,37,17,20,0,220,1,37
318,37,20,17,0,1,220,37
319,36,18,18,0,66,66,640
320,37,18,19,0,66,12,128
321,37,19,18,0,12,66,128
322,38,18,20,0,66,1,14
323,38,20,18,0,1,66,14
324,38,19,19,0,12,12,28
325,39,19,20,0,12,1,3
326,39,20,19,0,1,12,3
327,40,20,20,0,1,1,1
328,2,1,1,1,8,8,8
329,3,1,2,1,8,13,9
330,3,2,1,1,13,8,9
331,4,1,3,1,8,48,32
332,4,3,1,1,48,8,32
333,5,1,4,1,8,127,70
334,5,4,1,1,127,8,70
335,6,1,5,1,8,230,116
336,6,5,1,1,230,8,116
337,7,1,6,1,8,267,119
338,7,6,1,1,267,8,119
339,8,1,7,1,8,188,84
340,8,7,1,1,188,8,84
341,9,1,8,1,8,73,32
342,9,8,1,1,73,8,32
343,10,1,9,1,8,428,164
344,10,9,1,1,428,8,164
345,11,1,10,1,8,1626,556
346,11,10,1,1,1626,8,556
347,12,1,11,1,8,4510,1472
348,12,11,1,1,4510,8,1472
349,13,1,12,1,8,9647,2936
350,13,12,1,1,9647,8,2936
351,4,2,2,1,13,13,8
352,5,2,3,1,13,48,29
